psu;marst;occup;educ;diplom;gender;birth_year;industry;beginning;boss;subordinates;duration_weekh;income;wage;job_sat;job_career;children;child_less18;life_sat
Ленинградская обл., Волосовский район;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1973;Образование;1992;2;;30;6500;5000;2;3;2;2;2
Ленинградская обл., Волосовский район;2;ремесленники;10 и более классов школы и техникум без диплома;4;1;1971;Транспорт, Связь;1991;1;3;40;15400;10000;3;2;2;2;2
Ленинградская обл., Волосовский район;1;профессионалы со средним специальным образованием;10 и более классов школы и какое-либо професс. обр. без дипл;4;2;1944;Социальная защита, социальное обеспечение, обслуживание;1991;2;;35;3249;3000;4;4;;;2
Ленинградская обл., Волосовский район;2;разнорабочие;техникум с дипломом;5;2;1946;Наука, культура;1999;2;;40;1000;2500;3;5;2;0;3
Ленинградская обл., Волосовский район;2;;техникум с дипломом;5;2;1938;;;;;;;;;;1;0;5
Ленинградская обл., Волосовский район;2;законодатели, крупные чиновники, управляющие;7-9 классов школы (незак. среднее) и какое-либо ПТУ без дипл;3;1;1968;Лесозаготовка, лесное хозяйство;2002;1;10;60;998;997;2;2;5;5;3
Ленинградская обл., Волосовский район;2;;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1971;;;;;;;;;;5;5;1
Ленинградская обл., Волосовский район;;;3 классов школы;;1;1994;;;;;;;;;;;;
Ленинградская обл., Волосовский район;2;;среднее образование - есть аттестат о ср. образовании;4;2;1954;;;;;;;;;;3;0;4
Ленинградская обл., Волосовский район;2;разнорабочие;среднее образование - есть аттестат о ср. образовании;4;1;1956;Строительство;2005;2;;36;2600;2600;2;5;2;0;3
Ленинградская обл., Волосовский район;2;законодатели, крупные чиновники, управляющие;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1983;Торговля, бытовое обслуживание;;2;;35;500;0;4;4;1;1;4
Ленинградская обл., Волосовский район;2;служащие конторские и по обслуживанию клиентов;техникум с дипломом;5;2;1973;Легкая и пищевая промышленность;2004;1;7;72;8000;8000;5;5;2;2;2
Ленинградская обл., Волосовский район;2;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1970;Наука, культура;2003;1;2;84;16000;16000;2;2;2;2;2
Ленинградская обл., Волосовский район;1;;8 классов школы;2;1;1991;;;;;;;;;;;;1
Ленинградская обл., Волосовский район;2;ремесленники;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1985;Деревообрабатывающая промышленность;2004;2;;72;;0;5;5;1;1;4
Ленинградская обл., Волосовский район;1;;8 классов школы;2;1;1990;;;;;;;;;;;;4
Ленинградская обл., Волосовский район;2;законодатели, крупные чиновники, управляющие;8 классов школы;2;1;1972;Транспорт, Связь;2003;1;3;72;70000;60000;3;5;1;1;2
Ленинградская обл., Волосовский район;3;профессионалы со средним специальным образованием;есть диплом о высшем образовании;6;2;1975;Органы управления;1994;2;;40;4300;4300;4;4;1;1;3
Ленинградская обл., Волосовский район;5;;среднее образование - есть аттестат о ср. образовании;4;2;1924;;;;;;;;;;3;0;5
Ленинградская обл., Волосовский район;4;служащие конторские и по обслуживанию клиентов;техникум с дипломом;5;2;1953;Легкая и пищевая промышленность;1999;2;;40;2300;4500;2;5;;;2
Ленинградская обл., Волосовский район;2;ремесленники;среднее образование - есть аттестат о ср. образовании;4;1;1955;Строительство;2004;1;4;40;7500;7500;4;4;1;0;3
Ленинградская обл., Волосовский район;2;ремесленники;техникум с дипломом;5;1;1964;Гражданское машиностроение;2004;2;;40;997;998;3;5;2;2;3
Ленинградская обл., Волосовский район;2;ремесленники;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1968;Энергетическая промышленность;2005;1;1;50;7000;6000;2;5;2;2;4
Ленинградская обл., Волосовский район;1;разнорабочие;среднее образование - есть аттестат о ср. образовании;4;1;1988;Строительство;2005;2;;40;998;998;1;1;;;3
Ленинградская обл., Волосовский район;1;;8 классов школы;2;2;1990;;;;;;;;;;;;2
Ленинградская обл., Волосовский район;2;разнорабочие;8 классов школы;2;2;1965;Дорожное управление, дорожная работа;2000;2;;40;4000;4000;3;5;2;1;3
Ленинградская обл., Волосовский район;2;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1968;Дорожное управление, дорожная работа;1991;2;;40;4000;6000;3;3;2;2;4
Ленинградская обл., Волосовский район;1;;6 классов школы;1;1;1991;;;;;;;;;;;;1
Ленинградская обл., Волосовский район;2;;среднее образование - есть аттестат о ср. образовании;4;2;1938;;;;;;;;;;3;0;4
Ленинградская обл., Волосовский район;2;;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1947;;;;;;;;;;2;0;2
Ленинградская обл., Волосовский район;2;профессионалы со средним специальным образованием;техникум с дипломом;5;2;1961;Сельское хозяйство;1987;1;40;56;7000;7000;3;1;3;0;3
Ленинградская обл., Волосовский район;2;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1958;Транспорт, Связь;2005;2;;56;9000;9000;1;4;3;0;3
Ленинградская обл., Волосовский район;2;разнорабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1981;Сельское хозяйство;2003;2;;70;1000;1000;2;4;1;1;2
Ленинградская обл., Волосовский район;4;ремесленники;среднее образование - есть аттестат о ср. образовании;4;2;1983;Легкая и пищевая промышленность;2004;1;20;36;11500;10000;2;5;1;1;3
Ленинградская обл., Волосовский район;1;;среднее образование - есть аттестат о ср. образовании;4;1;1988;;;;;;;;;;;;2
Ленинградская обл., Волосовский район;5;;2 классов школы;1;2;1931;;;;;;;;;;1;0;2
Ленинградская обл., Волосовский район;3;служащие конторские и по обслуживанию клиентов;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1980;Жилищно-коммунальное хозяйство;2005;2;;22;2500;2500;1;2;;;1
Ленинградская обл., Волосовский район;2;служащие конторские и по обслуживанию клиентов;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1958;Органы управления;1978;2;;40;6000;6000;3;4;3;0;4
Ленинградская обл., Волосовский район;2;промышленные рабочие;среднее образование - есть аттестат о ср. образовании;4;1;1954;Сельское хозяйство;1974;2;;72;6000;7000;4;5;3;0;2
Ленинградская обл., Волосовский район;5;;4 классов школы;1;2;1927;;;;;;;;;;3;0;2
Ленинградская обл., Волосовский район;2;ремесленники;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1976;Жилищно-коммунальное хозяйство;2003;2;;40;5300;5300;2;3;1;1;2
Ленинградская обл., Волосовский район;3;занятые в сфере обслуживания;среднее образование - есть аттестат о ср. образовании;4;2;1978;Торговля, бытовое обслуживание;2000;2;;40;3000;3000;3;4;1;1;3
Ленинградская обл., Волосовский район;2;;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1986;;;;;;;;;;1;1;2
Ленинградская обл., Волосовский район;2;профессионалы со средним специальным образованием;техникум с дипломом;5;2;1954;Здравоохранение;1994;2;;40;4500;4500;1;2;2;0;1
Ленинградская обл., Волосовский район;2;профессионалы со средним специальным образованием;3 и более лет в высшем учебном заведении;5;1;1949;Сельское хозяйство;1982;2;;40;7000;7000;2;3;2;0;1
Ленинградская обл., Волосовский район;2;промышленные рабочие;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;2;1953;Жилищно-коммунальное хозяйство;1996;2;;48;700;1300;3;5;3;0;4
Ленинградская обл., Волосовский район;2;промышленные рабочие;7-9 классов школы (незак. среднее) и какое-либо ПТУ без дипл;3;1;1955;Жилищно-коммунальное хозяйство;1994;2;;48;2500;2500;4;4;3;0;4
Ленинградская обл., Волосовский район;2;занятые в сфере обслуживания;7-9 классов школы (незак. среднее) и какое-либо ПТУ без дипл;3;2;1980;Здравоохранение;2000;2;;72;3000;3000;4;5;1;1;2
Ленинградская обл., Волосовский район;2;;среднее образование - есть аттестат о ср. образовании;4;2;1962;;;;;;;;;;2;0;4
Ленинградская обл., Волосовский район;1;;среднее образование - есть аттестат о ср. образовании;4;2;1987;;;;;;;;;;;;4
Ленинградская обл., Волосовский район;5;разнорабочие;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;2;1952;Здравоохранение;2000;2;;35;2800;3200;2;4;3;0;2
Ленинградская обл., Волосовский район;4;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1976;Образование;2005;2;;45;15000;;2;3;1;1;2
Ленинградская обл., Волосовский район;;;4 классов школы;;2;1994;;;;;;;;;;;;
Ленинградская обл., Волосовский район;2;разнорабочие;среднее образование - есть аттестат о ср. образовании;4;2;1963;Сельское хозяйство;2002;2;;35;1500;7000;5;5;3;1;3
Ленинградская обл., Волосовский район;2;разнорабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1969;Легкая и пищевая промышленность;2004;2;;48;11000;11000;2;5;3;1;3
Ленинградская обл., Волосовский район;1;профессионалы со средним специальным образованием;среднее образование - есть аттестат о ср. образовании;4;1;1981;Игорный бизнес;2005;2;;48;9000;9000;1;1;;;2
Ленинградская обл., Волосовский район;3;разнорабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1983;Сельское хозяйство;2005;2;;12;13000;10000;1;5;;;3
Ленинградская обл., Волосовский район;;;3 классов школы;;1;1994;;;;;;;;;;;;
Ленинградская обл., Волосовский район;5;;4 классов школы;1;1;1932;;;;;;;;;;2;0;1
Ленинградская обл., Волосовский район;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1962;Здравоохранение;1987;1;3;40;12000;8000;3;1;1;0;2
Ленинградская обл., Волосовский район;2;промышленные рабочие;есть диплом о высшем образовании;6;1;1963;Жилищно-коммунальное хозяйство;1993;1;1;40;12000;12000;1;5;1;0;2
Ленинградская обл., Волосовский район;1;;1-2 года в высшем учебном заведении;5;2;1986;;;;;;;;;;;;1
Ленинградская обл., Волосовский район;2;;техникум с дипломом;5;2;1964;;;;;;;;;;;;3
Ленинградская обл., Волосовский район;2;;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1962;;;;;;;;;;;;3
Ленинградская обл., Волосовский район;5;;есть диплом о высшем образовании;6;2;1938;;;;;;;;;;1;0;4
Ленинградская обл., Волосовский район;2;;6 классов школы;1;1;1940;;;;;;;;;;3;0;4
Ленинградская обл., Волосовский район;2;разнорабочие;техникум с дипломом;5;2;1937;Жилищно-коммунальное хозяйство;2005;2;;40;120;2800;3;5;3;0;4
Ленинградская обл., Волосовский район;3;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1969;Транспорт, Связь;2005;2;;64;8000;8000;2;3;1;1;2
Ленинградская обл., Волосовский район;1;;7 классов школы;2;2;1991;;;;;;;;;;;;3
Ленинградская обл., Волосовский район;5;;есть диплом о высшем образовании;6;2;1939;;;;;;;;;;;;2
Ленинградская обл., Волосовский район;2;;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;1;1937;;;;;;;;;;2;0;3
Ленинградская обл., Волосовский район;2;;7 классов школы;2;2;1940;;;;;;;;;;2;0;3
Ленинградская обл., Волосовский район;4;;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;2;1965;;;;;;;;;;3;2;5
Ленинградская обл., Волосовский район;3;;среднее образование - есть аттестат о ср. образовании;4;2;1988;;;;;;;;;;1;1;3
Ленинградская обл., Волосовский район;1;;7 классов школы;2;1;1990;;;;;;;;;;;;1
Ленинградская обл., Волосовский район;3;;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1955;;;;;;;;;;2;0;4
Ленинградская обл., Волосовский район;2;разнорабочие;техникум с дипломом;5;2;1958;Легкая и пищевая промышленность;2004;2;;10;5000;5000;4;4;;;4
Ленинградская обл., Волосовский район;2;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1956;Строительство;2005;2;;40;17000;17000;2;2;;;3
Ленинградская обл., Волосовский район;5;;7 классов школы;2;2;1940;;;;;;;;;;3;0;2
Ленинградская обл., Волосовский район;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1955;Образование;1982;2;;40;10050;9000;2;4;2;0;3
Ленинградская обл., Волосовский район;2;;есть диплом о высшем образовании;6;1;1950;;;;;;;;;;2;0;4
Ленинградская обл., Волосовский район;2;;3 и более лет в высшем учебном заведении;5;2;1977;;;;;;;;;;1;1;4
Ленинградская обл., Волосовский район;5;;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1951;;;;;;;;;;2;0;5
Ленинградская обл., Волосовский район;2;;7 классов школы;2;2;1939;;;;;;;;;;4;0;4
Ленинградская обл., Волосовский район;2;ремесленники;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1949;Сельское хозяйство;1980;2;;49;6000;6500;2;2;;;4
Ленинградская обл., Волосовский район;1;;7-9 классов школы (незак. среднее) и какое-либо ПТУ без дипл;3;1;1988;;;;;;;;;;;;2
Ленинградская обл., Волосовский район;5;;7 классов школы;2;2;1926;;;;;;;;;;1;0;1
Ленинградская обл., Волосовский район;4;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1955;Легкая и пищевая промышленность;2000;2;;35;3000;3000;2;4;1;1;5
Ленинградская обл., Волосовский район;1;;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1988;;;;;;;;;;;;2
Ленинградская обл., Волосовский район;3;;техникум с дипломом;5;2;1950;;;;;;;;;;1;0;2
Ленинградская обл., Волосовский район;3;ремесленники;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;1;1948;Строительство;2004;1;10;44;4800;6500;3;3;1;0;3
Ленинградская обл., Волосовский район;2;;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;2;1931;;;;;;;;;;2;0;4
Ленинградская обл., Волосовский район;2;;6 классов школы;1;1;1941;;;;;;;;;;;;4
Ленинградская обл., Волосовский район;2;;7 классов школы;2;2;1946;;;;;;;;;;3;0;4
Ленинградская обл., Волосовский район;2;;7 классов школы;2;1;1948;;;;;;;;;;2;0;2
Ленинградская обл., Волосовский район;5;;5 классов школы;1;2;1925;;;;;;;;;;2;0;4
Ленинградская обл., Волосовский район;5;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1955;Образование;1978;2;;30;8000;8000;2;2;2;0;3
Ленинградская обл., Волосовский район;1;служащие конторские и по обслуживанию клиентов;есть диплом о высшем образовании;6;2;1983;Органы управления;2005;2;;40;7500;7500;2;2;;;2
Ленинградская обл., Волосовский район;1;;1-2 года в высшем учебном заведении;5;1;1987;;;;;;;;;;;;2
Ленинградская обл., Волосовский район;5;;5 классов школы;1;2;1928;;;;;;;;;;3;0;3
Ленинградская обл., Волосовский район;5;;5 классов школы;1;1;1939;;;;;;;;;;2;0;3
Ленинградская обл., Волосовский район;5;;техникум с дипломом;5;2;1950;;;;;;;;;;3;0;3
Ленинградская обл., Волосовский район;2;занятые в сфере обслуживания;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1984;Здравоохранение;2002;2;;40;2470;2800;2;4;1;1;2
Ленинградская обл., Волосовский район;3;;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1986;;;;;;;;;;;;3
Ленинградская обл., Волосовский район;2;;8 классов школы;2;2;1949;;;;;;;;;;2;0;3
Ленинградская обл., Волосовский район;2;промышленные рабочие;8 классов школы;2;1;1946;Легкая и пищевая промышленность;1969;2;;48;6000;6000;2;4;2;0;2
Ленинградская обл., Волосовский район;2;профессионалы с высшим образованием;техникум с дипломом;5;2;1973;Образование;2002;1;1;35;2800;3000;4;4;2;2;3
Ленинградская обл., Волосовский район;2;промышленные рабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1970;Транспорт, Связь;2002;2;;60;;8000;3;4;2;2;3
Ленинградская обл., Волосовский район;;;5 классов школы;;2;1993;;;;;;;;;;;;
Ленинградская обл., Волосовский район;5;;8 классов школы;2;2;1925;;;;;;;;;;2;0;4
Ленинградская обл., Волосовский район;5;;2 классов школы;1;2;1929;;;;;;;;;;6;0;5
Ленинградская обл., Волосовский район;1;;6 классов школы;1;1;1953;;;;;;;;;;;;4
Ленинградская обл., Волосовский район;5;разнорабочие;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1952;Сельское хозяйство;1978;2;;56;4800;4800;2;2;;;2
Ленинградская обл., Волосовский район;1;;7-9 классов школы (незак. среднее) и какое-либо ПТУ без дипл;3;2;1984;;;;;;;;;;1;1;5
Ленинградская обл., Волосовский район;5;;техникум с дипломом;5;2;1935;;;;;;;;;;1;0;4
Ленинградская обл., Волосовский район;5;;3 классов школы;1;2;1931;;;;;;;;;;2;0;4
Краснодар;5;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1937;Образование;1976;1;1;6;1800;1800;3;1;1;0;4
Краснодар;1;;1-2 года в высшем учебном заведении;5;2;1987;;;;;;;;;;;;2
Краснодар;1;занятые в сфере обслуживания;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1965;Торговля, бытовое обслуживание;2005;2;;56;6500;4800;4;;2;1;4
Краснодар;1;;9 классов школы;3;2;1990;;;;;;;;;;;;2
Краснодар;3;профессионалы со средним специальным образованием;10 и более классов школы и техникум без диплома;4;2;1960;Военно-промышленный комплекс;1992;2;;40;3000;2800;2;2;1;0;2
Краснодар;1;ремесленники;среднее образование - есть аттестат о ср. образовании;4;1;1979;Строительство;2005;2;;54;10000;7200;5;;;;5
Краснодар;4;;техникум с дипломом;5;2;1939;;;;;;;;;;;;5
Краснодар;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1959;Торговля, бытовое обслуживание;2004;1;2;60;16000;10000;4;3;3;2;4
Краснодар;2;военнослужащие;техникум с дипломом;5;1;1958;Армия, МВД, Органы безопасности;1994;1;27;55;7100;6500;2;2;3;2;3
Краснодар;1;;1-2 года в высшем учебном заведении;5;2;1985;;;;;;;;;;;;3
Краснодар;1;;7-9 классов школы (незак. среднее) и менее 2 лет в техникуме;3;1;1989;;;;;;;;;;;;2
Краснодар;2;профессионалы со средним специальным образованием;техникум с дипломом;5;2;1958;Строительство;2003;2;;40;12000;12000;2;4;2;0;4
Краснодар;1;занятые в сфере обслуживания;среднее образование - есть аттестат о ср. образовании;4;1;1982;Армия, МВД, Органы безопасности;2004;2;;40;998;998;3;3;;;2
Краснодар;1;;1-2 года в высшем учебном заведении;5;2;1986;;;;;;;;;;;;3
Краснодар;2;разнорабочие;среднее образование - есть аттестат о ср. образовании;4;2;1962;Органы управления;2002;2;;36;4000;4000;2;3;2;1;3
Краснодар;1;ремесленники;техникум с дипломом;5;1;1985;Строительство;2005;2;;50;4000;2500;3;2;;;2
Краснодар;1;;7 классов школы;2;2;1991;;;;;;;;;;;;2
Краснодар;2;служащие конторские и по обслуживанию клиентов;техникум с дипломом;5;2;1954;Транспорт, Связь;1999;2;;40;5600;5600;3;;2;0;3
Краснодар;2;ремесленники;8 классов школы;2;1;1952;Наука, культура;1995;2;;25;3600;2700;;;2;0;4
Краснодар;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;1;1939;Нефтегазовая промышленность;1990;1;4;40;5000;5000;3;;2;0;2
Краснодар;2;;есть диплом о высшем образовании;6;2;1940;;;;;;;;;;2;0;2
Краснодар;2;;среднее образование - есть аттестат о ср. образовании;4;1;1953;;;;;;;;;;3;0;4
Краснодар;4;законодатели, крупные чиновники, управляющие;1-2 года в высшем учебном заведении;5;2;1964;Торговля, бытовое обслуживание;1990;2;;48;15000;;2;4;2;0;2
Краснодар;1;;есть диплом о высшем образовании;6;1;1982;;;;;;;;;;;;4
Краснодар;1;занятые в сфере обслуживания;8 классов школы;2;1;1986;Торговля, бытовое обслуживание;2001;2;;40;6000;;2;4;;;4
Краснодар;2;законодатели, крупные чиновники, управляющие;техникум с дипломом;5;2;1964;Легкая и пищевая промышленность;2000;1;20;48;7000;7000;2;2;2;2;4
Краснодар;2;законодатели, крупные чиновники, управляющие;техникум с дипломом;5;1;1956;Легкая и пищевая промышленность;2000;1;20;40;13000;13000;2;2;1;1;2
Краснодар;1;;9 классов школы;3;1;1989;;;;;;;;;;;;2
Краснодар;5;разнорабочие;есть диплом о высшем образовании;6;2;1940;Образование;2001;2;;25;2800;2600;4;5;1;0;4
Краснодар;2;законодатели, крупные чиновники, управляющие;техникум с дипломом;5;1;1971;Торговля, бытовое обслуживание;2005;2;;70;15000;;4;4;1;1;4
Краснодар;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1973;Образование;2000;2;;25;3000;3000;2;1;1;1;4
Краснодар;5;профессионалы со средним специальным образованием;техникум с дипломом;5;2;1952;Торговля, бытовое обслуживание;2005;1;4;60;5000;5000;2;2;3;1;2
Краснодар;1;промышленные рабочие;среднее образование - есть аттестат о ср. образовании;4;1;1985;Торговля, бытовое обслуживание;2004;2;;40;2400;2400;3;3;;;4
Краснодар;1;законодатели, крупные чиновники, управляющие;1-2 года в высшем учебном заведении;5;1;1987;Здравоохранение;2004;1;4;48;30000;30000;1;1;;;2
Краснодар;1;;9 классов школы;3;1;1989;;;;;;;;;;;;2
Краснодар;5;;техникум с дипломом;5;2;1937;;;;;;;;;;3;0;4
Краснодар;2;промышленные рабочие;есть диплом о высшем образовании;6;1;1967;Торговля, бытовое обслуживание;2002;2;;25;5000;5000;5;5;2;2;3
Краснодар;5;;7 классов школы;2;2;1930;;;;;;;;;;3;0;4
Краснодар;5;;10 и более классов школы и техникум без диплома;4;2;1927;;;;;;;;;;2;0;5
Краснодар;5;разнорабочие;среднее образование - есть аттестат о ср. образовании;4;2;1950;Образование;2005;2;;48;3000;2250;5;5;1;0;5
Краснодар;2;занятые в сфере обслуживания;1-2 года в высшем учебном заведении;5;2;1975;Работаю на частное лицо;2005;2;;27;4800;;3;;1;1;3
Краснодар;2;;есть диплом о высшем образовании;6;1;1942;;;;;;;;;;2;0;4
Краснодар;2;профессионалы со средним специальным образованием;есть диплом о высшем образовании;6;2;1973;Легкая и пищевая промышленность;1993;1;6;54;9000;8000;4;4;1;1;4
Краснодар;5;;среднее образование - есть аттестат о ср. образовании;4;2;1938;;;;;;;;;;2;0;4
Краснодар;1;служащие конторские и по обслуживанию клиентов;8 классов школы;2;1;1971;Торговля, бытовое обслуживание;2004;1;1;46;5500;5500;4;3;;;4
Краснодар;3;профессионалы с высшим образованием;есть диплом о высшем образовании;6;1;1983;Армия, МВД, Органы безопасности;2005;2;;42;7000;7000;2;2;;;2
Краснодар;2;ремесленники;10 и более классов школы и техникум без диплома;4;1;1972;Строительство;2002;1;32;60;;2500;4;4;2;2;2
Краснодар;5;;есть диплом о высшем образовании;6;2;1938;;;;;;;;;;1;0;2
Краснодар;2;;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1945;;;;;;;;;;1;0;4
Краснодар;2;занятые в сфере обслуживания;9 классов школы;3;2;1955;Торговля, бытовое обслуживание;1998;2;;52;4500;4000;2;3;1;0;2
Краснодар;1;;3 и более лет в высшем учебном заведении;5;1;1983;;;;;;;;;;;;2
Краснодар;5;;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1945;;;;;;;;;;1;0;4
Краснодар;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1978;Образование;2003;2;;30;4000;4000;3;4;1;1;4
Краснодар;5;;техникум с дипломом;5;2;1953;;;;;;;;;;2;0;4
Краснодар;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;1;1982;Торговля, бытовое обслуживание;2004;2;;40;14500;9000;2;4;1;1;2
Краснодар;3;профессионалы со средним специальным образованием;техникум с дипломом;5;2;1963;Финансы;2004;2;;10;530;;1;1;3;2;1
Краснодар;1;;среднее образование - есть аттестат о ср. образовании;4;1;1988;;;;;;;;;;;;1
Краснодар;2;;4 классов школы;1;1;1932;;;;;;;;;;2;0;2
Краснодар;2;;среднее образование - есть аттестат о ср. образовании;4;2;1938;;;;;;;;;;2;0;4
Краснодар;2;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1955;Образование;2004;2;;40;2400;2400;3;3;3;1;2
Краснодар;2;;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;1;1979;;;;;;;;;;1;1;2
Краснодар;5;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1955;Образование;1985;2;;30;7100;5200;4;4;2;0;3
Краснодар;1;профессионалы со средним специальным образованием;1-2 года в высшем учебном заведении;5;1;1986;Торговля, бытовое обслуживание;2003;2;;72;7000;7000;2;2;;;2
Краснодар;2;;1-2 года в высшем учебном заведении;5;2;1956;;;;;;;;;;3;1;4
Краснодар;2;профессионалы со средним специальным образованием;есть диплом о высшем образовании;6;1;1951;Транспорт, Связь;1973;1;5;72;13000;10000;2;2;3;1;4
Краснодар;2;;техникум с дипломом;5;1;1976;;;;;;;;;;;;5
Краснодар;1;профессионалы с высшим образованием;есть диплом о высшем образовании;6;1;1978;Торговля, бытовое обслуживание;2004;2;;45;6500;6500;3;4;;;3
Краснодар;1;;10 и более классов школы без аттестата о среднем образовании;3;2;1989;;;;;;;;;;;;2
Краснодар;2;служащие конторские и по обслуживанию клиентов;техникум с дипломом;5;2;1973;Транспорт, Связь;1990;2;;40;6000;6000;2;2;3;3;2
Краснодар;2;ремесленники;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;1;1970;Торговля, бытовое обслуживание;1999;2;;60;12000;;2;4;3;3;2
Краснодар;4;;техникум с дипломом;5;2;1961;;;;;;;;;;2;0;4
Краснодар;4;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1982;Образование;2000;2;;40;2200;2200;2;3;1;1;4
Краснодар;1;профессионалы со средним специальным образованием;есть диплом о высшем образовании;6;2;1983;Торговля, бытовое обслуживание;2005;2;;40;2000;2000;3;3;;;4
Краснодар;;;5 классов школы;1;2;1930;;;;;;;;;;;;5
Краснодар;5;;есть диплом о высшем образовании;6;2;1938;;;;;;;;;;;;2
Краснодар;1;;9 классов школы;3;2;1989;;;;;;;;;;;;2
Краснодар;2;;8 классов школы;2;2;1939;;;;;;;;;;;;4
Краснодар;2;;техникум с дипломом;5;1;1937;;;;;;;;;;;;5
Краснодар;4;профессионалы с высшим образованием;есть диплом о высшем образовании;6;2;1947;Образование;2005;2;;27;6500;997;1;1;1;0;3
Краснодар;2;;техникум с дипломом;5;2;1970;;;;;;;;;;2;2;4
Краснодар;;;6 классов школы;;2;1992;;;;;;;;;;;;
Краснодар;4;служащие конторские и по обслуживанию клиентов;3 и более лет в высшем учебном заведении;5;2;1963;Транспорт, Связь;1983;2;;30;6700;7000;4;4;2;1;4
Краснодар;;;5 классов школы;;2;1993;;;;;;;;;;;;
Краснодар;5;;есть диплом о высшем образовании;6;2;1942;;;;;;;;;;1;0;4
Краснодар;4;профессионалы со средним специальным образованием;техникум с дипломом;5;2;1972;Здравоохранение;1995;1;1;56;1200;6500;3;2;1;1;4
Краснодар;;;7 классов школы;;2;1992;;;;;;;;;;;;
Краснодар;5;;техникум с дипломом;5;1;1929;;;;;;;;;;2;0;5
Удмуртская АССР, Глазов и Глазовский район;5;;7 классов школы;2;2;1936;;;;;;;;;;1;0;3
Удмуртская АССР, Глазов и Глазовский район;5;;10 и более классов школы и какое-либо професс. обр. с диплом;4;2;1944;;;;;;;;;;1;0;2
Удмуртская АССР, Глазов и Глазовский район;2;;техникум с дипломом;5;2;1935;;;;;;;;;;2;0;4
Удмуртская АССР, Глазов и Глазовский район;2;;7-9 классов школы (незак. среднее) и какое-либо ПТУ с диплом;3;1;1936;;;;;;;;;;2;0;4
Удмуртская АССР, Глазов и Глазовский район;1;;10 и более классов школы и какое-либо професс. обр. с диплом;4;1;1972;;;;;;;;;;;;3
Удмуртская АССР, Глазов и Глазовский район;5;;3 классов школы;1;2;1932;;;;;;;;;;2;0;3
